periods;precipitation;temperature;max_temperature;min_temperature;max_rel_humidity;min_rel_humidity;max_pressure;min_pressure;wind_gust;frost_alert;etp;radiation;wetting;
2019-08-12 06:00;0;28.8366756439209;32.74354934692383;24.92980194091797;93.4412612915039;54.50861740112305;1016.1868286132812;1011.5333862304688;6.300610065460205;0;6.207423686981201;3429.485107421875;-0.657454788684845;
2019-08-13 06:00;3.253377914428711;29.13081932067871;33.463130950927734;24.798507690429688;93.27096557617188;52.615333557128906;1014.2926025390625;1010.19921875;8.879036903381348;0;6.489915370941162;3231.333740234375;-0.1513800024986267;
2019-08-14 06:00;6.097621440887451;28.531709671020508;33.27827453613281;23.785144805908203;92.67708587646484;59.28531265258789;1014.185791015625;1009.5272827148438;9.006714820861816;0;5.925450325012207;3294.60546875;-0.4257258176803589;
2019-08-15 06:00;1.9237892627716064;28.837687492370605;32.61589431762695;25.059480667114258;92.37443542480469;60.054630279541016;1014.5975952148438;1010.3816528320312;8.628691673278809;0;6.20859956741333;3472.1591796875;-0.14890526235103607;
2019-08-16 06:00;6.11668586730957;28.590391159057617;32.33561325073242;24.845169067382812;92.68975067138672;58.55660629272461;1015.1852416992188;1011.1301879882812;10.071314811706543;0;5.9792022705078125;3490.955322265625;-0.7164568901062012;
2019-08-17 06:00;5.428318023681641;28.43120002746582;32.48747634887695;24.374923706054688;89.72996520996094;59.30728530883789;1014.6285400390625;1011.3228759765625;10.08882999420166;0;5.835700035095215;3414.44970703125;-0.33768731355667114;
2019-08-18 06:00;4.3845601081848145;28.125021934509277;33.30127716064453;22.948766708374023;93.88858032226562;48.039302825927734;1015.6336669921875;1011.2866821289062;8.349133491516113;0;5.565450668334961;3350.961669921875;-0.23995567858219147;
2019-08-19 06:00;0.2595437467098236;28.750649452209473;33.229305267333984;24.27199363708496;92.30199432373047;54.16912841796875;1015.151611328125;1011.4524536132812;7.237444877624512;0;6.127490520477295;3370.654052734375;-0.16336658596992493;
2019-08-20 06:00;0.18616335093975067;28.806605339050293;33.81791305541992;23.795297622680664;92.84961700439453;54.96839904785156;1015.1691284179688;1011.0455322265625;7.277491092681885;0;6.180724620819092;3377.529052734375;0.044015225023031235;
2019-08-21 06:00;0.12644197046756744;28.928397178649902;33.141380310058594;24.71541404724121;93.65277862548828;51.922393798828125;1015.3427734375;1012.25146484375;6.822617053985596;0;6.296257019042969;3181.71484375;-0.39227980375289917;
2019-08-22 06:00;0.4182870388031006;29.01352310180664;33.07294845581055;24.954097747802734;90.6644287109375;51.638710021972656;1016.4263305664062;1012.362548828125;8.333210945129395;0;6.376671314239502;3475.270751953125;0.06579536199569702;
2019-08-23 06:00;0.45825326442718506;28.311100959777832;32.438514709472656;24.183687210083008;90.38101959228516;53.023197174072266;1016.1412963867188;1012.3984375;6.582091331481934;0;5.728734493255615;3466.32861328125;-0.42839252948760986;
2019-08-24 06:00;0.20902696251869202;28.568846702575684;33.105064392089844;24.032629013061523;91.97454071044922;52.61180877685547;1016.3213500976562;1012.255126953125;5.7790303230285645;0;5.96085786819458;3364.594482421875;0.012677129358053207;
2019-08-25 06:00;0;28.829176902770996;33.00052261352539;24.6578311920166;90.91226959228516;48.7049560546875;1016.2315063476562;1012.2296142578125;6.5685248374938965;0;6.202630996704102;3478.27392578125;0.07282399386167526;
2019-08-26 06:00;3.7346439361572266;29.19765853881836;33.12842559814453;25.266891479492188;88.71926879882812;56.32024002075195;1015.4918823242188;1011.454833984375;7.060471057891846;0;6.55570125579834;3454.271484375;0.08150871843099594;
2019-08-27 06:00;4.979471683502197;28.634916305541992;32.35234069824219;24.917491912841797;90.20492553710938;56.14142990112305;1015.3358764648438;1011.422607421875;7.648235321044922;0;6.021388053894043;3406.2816026475693;0.015933571383357048;
2019-08-28 06:00;1.4475733041763306;28.923388481140137;32.51277542114258;25.334001541137695;89.30436706542969;55.96730041503906;1015.447998046875;1011.5259399414062;7.511152744293213;0;6.292727470397949;3406.2816026475693;0.0483660027384758;
2019-08-29 06:00;4.1294050216674805;28.789941787719727;32.62617492675781;24.95370864868164;90.97828674316406;53.52152633666992;1015.3364868164062;1010.5862426757812;6.961480617523193;0;6.16519021987915;3406.2816026475693;0.02881147339940071;
2019-08-30 06:00;0.7428653240203857;29.051715850830078;33.183231353759766;24.92020034790039;90.96573638916016;52.09376907348633;1014.4099731445312;1010.2656860351562;8.225907325744629;0;6.414129257202148;3406.2816026475693;0.011193882673978806;
2019-08-31 06:00;1.016858696937561;29.059744834899902;33.21748733520508;24.902002334594727;90.6409912109375;51.134525299072266;1015.0310668945312;1010.2809448242188;9.65397834777832;0;6.4224162101745605;3478.939453125;-0.013655894435942173;
2019-09-01 06:00;0.14292152225971222;28.710481643676758;32.736324310302734;24.68463897705078;91.12907409667969;48.52826690673828;1014.9260864257812;1010.5768432617188;7.499431133270264;0;6.09147310256958;3406.2816026475693;0.03479129821062088;
2019-09-02 06:00;0;28.618431091308594;32.63785934448242;24.599002838134766;90.6845932006836;54.4481086730957;1014.4844360351562;1009.8355712890625;7.943302154541016;0;6.006807327270508;3406.2816026475693;-0.041418008506298065;
2019-09-03 06:00;0.21898214519023895;28.637980461120605;32.64568328857422;24.630277633666992;89.22713470458984;49.04116439819336;1013.8182983398438;1009.1177978515625;7.2735161781311035;0;6.02468204498291;3406.2816026475693;-0.22775603830814362;
2019-09-04 06:00;4.635598182678223;28.836183547973633;33.01560592651367;24.656761169433594;91.53623962402344;56.114471435546875;1013.5789794921875;1009.8994140625;7.179272651672363;0;6.209341049194336;3406.2816026475693;0.03598986566066742;
