periods;precipitation;temperature;max_temperature;min_temperature;rel_humidity;wind_speed;wind_direction;pressure;weather_conditions;atmospheric_conditions;thunderstorm_alerts;thermal_sensation;max_sensation;min_sensation;frost_alert;etp;
2019-09-11 06:00;0;32.54608917236328;38.816715240478516;28.74285125732422;17.771032333374023;3.1600000858306885;228;1008.88623046875;2;1;0;32.54608917236328;38.81671481662326;28.74285125732422;0;58.99983596801758;
2019-09-12 06:00;0;25.62369155883789;30.06046485900879;22.510725021362305;35.274574279785156;4.679999828338623;181;1013.3836669921875;1;1;0;25.62369155883789;30.060467190212673;22.510725021362305;0;6.332881927490234;
2019-09-13 06:00;0;25.958038330078125;32.79084777832031;20.8759765625;28.397642135620117;2.1500000953674316;135;1012.7164916992188;1;1;0;25.958038330078125;32.79084947374132;20.875974655151367;0;10.415471076965332;
2019-09-14 06:00;0;31.20404624938965;37.8515510559082;21.70188331604004;16.150686264038086;2.4600000381469727;69;1009.4886474609375;1;1;0;31.20404624938965;37.851549784342446;21.701881408691406;0;45.57689666748047;
2019-09-15 06:00;0;29.57745361328125;36.392181396484375;24.78382682800293;18.51938247680664;2.7899999618530273;111;1008.9022216796875;1;1;0;29.57745361328125;36.39218224419488;24.78382682800293;0;25.80184555053711;
2019-09-16 06:00;0;30.759376525878906;38.170982360839844;23.719139099121094;14.871463775634766;3.4800000190734863;193;1008.0870361328125;1;1;0;30.759374618530273;38.170979817708336;23.719139099121094;0;49.06557083129883;
2019-09-17 06:00;0;29.944664001464844;35.00066375732422;26.510448455810547;25.485092163085938;2.609999895095825;67;1009.8563232421875;2;1;0;29.944664001464844;35.00066121419271;26.51045036315918;0;13.163028717041016;
2019-09-18 06:00;0;30.021343231201172;37.33464431762695;25.771543502807617;14.633736610412598;3.630000114440918;97;1005.5720825195312;1;1;0;30.021343231201172;37.33464135064019;25.771543502807617;0;36.716182708740234;
2019-09-19 06:00;0;30.916797637939453;37.609962463378906;24.165706634521484;16.264631271362305;3.359999895095825;118;1006.873291015625;0;1;0;30.916799545288086;37.6099607679579;24.165708541870117;0;36.3265266418457;
2019-09-20 06:00;0;31.22002410888672;38.216068267822266;25.025842666625977;14.196413040161133;3.380000114440918;269;1006.5213012695312;1;1;0;31.22002410888672;38.2160653008355;25.025842666625977;0;50.19198226928711;
2019-09-21 06:00;0;31.983747482299805;39.780635833740234;23.89495086669922;12.739837646484375;2.0799999237060547;184;1006.9562377929688;1;1;0;31.983747482299805;39.780633714463974;23.89495086669922;0;74.02589416503906;
2019-09-22 06:00;0;30.493610382080078;36.96688461303711;26.486173629760742;21.36248779296875;2.9100000858306885;174;1009.009521484375;1;1;0;30.493606567382812;36.96688334147135;26.486173629760742;0;30.2678165435791;
2019-09-23 06:00;0;31.780872344970703;40.95283126831055;24.01839828491211;14.064427375793457;2.3299999237060547;109;1007.7169189453125;1;1;0;31.78087615966797;40.95283084445529;24.01839828491211;0;119.30461883544922;
2019-09-24 06:00;0;32.87494659423828;39.430763244628906;27.48287582397461;12.49625301361084;3.6700000762939453;34;1007.8900756835938;1;1;0;32.87494659423828;39.430762396918404;27.482877731323242;0;52.727840423583984;
2019-09-25 06:00;0;31.80802345275879;40.20039367675781;25.46495819091797;13.295372009277344;1.1799999475479126;84;1008.1951904296875;2;1;0;31.80802345275879;40.200394524468315;25.464956283569336;0;49.05851745605469;
2019-09-26 06:00;0;32.35586929321289;41.75751495361328;26.75922203063965;10.784263610839844;1.7300000190734863;95;1008.3663330078125;1;1;0;32.35586929321289;41.757515801323784;26.759220123291016;0;98.9150390625;
2019-09-27 06:00;0;32.61027526855469;37.25880813598633;28.245906829833984;13.443354606628418;2.7699999809265137;48;1007.7042846679688;2;1;0;32.61027526855469;37.258805168999565;28.24591064453125;0;37.98219299316406;
2019-09-28 06:00;0;32.00914001464844;37.431251525878906;28.889423370361328;14.001348495483398;4.440000057220459;190;1007.0598754882812;2;1;0;32.00914001464844;37.431250678168404;28.889423370361328;0;39.86885452270508;
2019-09-29 06:00;0;33.02949905395508;39.33635711669922;27.721765518188477;14.05201530456543;3.9200000762939453;179;1005.571533203125;1;1;0;33.02949905395508;39.33635711669922;27.721765518188477;0;69.48138427734375;
2019-09-30 06:00;0;31.4783878326416;37.52701950073242;28.283416748046875;23.621658325195312;3.4100000858306885;324;1007.5513305664062;1;1;0;31.4783878326416;37.52701653374566;28.283416748046875;0;37.132164001464844;
2019-10-01 06:00;0;29.59524154663086;35.15739059448242;24.579181671142578;31.37422752380371;1.2799999713897705;200;1008.0094604492188;2;1;0;29.59524154663086;35.15739017062717;24.579179763793945;0;18.410585403442383;
2019-10-02 06:00;0;32.553794860839844;38.14669418334961;23.891374588012695;21.320194244384766;3.880000114440918;270;1006.2428588867188;1;1;0;32.553794860839844;38.14669291178385;23.891372680664062;0;37.388427734375;
2019-10-03 06:00;1.739874243736267;29.134389877319336;34.325096130371094;24.826017379760742;32.90776443481445;3.1600000858306885;106;1008.3207397460938;2;2;1;29.134389877319336;34.32509528266059;24.826017379760742;0;17.669281005859375;
2019-10-04 06:00;0.1522466540336609;30.957151412963867;35.64671325683594;24.19507598876953;27.083587646484375;3.9600000381469727;265;1006.8621826171875;1;1;1;30.957151412963867;35.64671410454644;24.1950740814209;0;23.85354232788086;
2019-10-05 06:00;0.07892782986164093;30.600040435791016;36.24995422363281;27.766298294067383;29.682971954345703;4.730000019073486;337;1007.453369140625;1;1;0;30.600038528442383;36.24995337592231;27.766300201416016;0;20.128692626953125;
