estacao,latitude,longitude
Alegre-ES,-20.76,-41.53
Altaneira-CE,-7.0,-39.74
Agha-ES,-20.85,-40.75
Ajapi-SP,-22.28,-47.54
AbaetedosMendes-MG,-19.14,-46.13
Abare-BA,-8.72,-39.11
Almoco-PA,-1.29,-46.92
Aiuaba-CE,-6.57,-40.12
AbelFigueiredo-PA,-4.95,-48.39
AltoBoaVista-MT,-11.67,-51.39
Algodoes-PE,-8.31,-37.35
AltoBonito-MA,-7.36,-46.67
Aiua-CE,-3.44,-40.47
Alagoinha-PE,-8.46,-36.77
Alagoinha-CE,-7.08,-40.17
Acaiaca-MG,-20.36,-43.14
AldeiaVelha-RJ,-22.46,-42.3
AltoAlegredoMaranhao-MA,-4.21,-44.45
AfogadosdaIngazeira-PE,-7.75,-37.64
AltoHorizonte-GO,-14.19,-49.34
Abatia-PR,-23.3,-50.31
Acupe-BA,-12.66,-38.75
AbreCampo-MG,-20.3,-42.47
Acara-PA,-1.96,-48.19
Abreus-MG,-21.0,-43.29
Abuna-RO,-9.7,-65.36
AlminoAfonso-RN,-6.15,-37.76
Aiquara-BA,-14.12,-39.89
AlmiranteTamandaredoSul-RS,-28.11,-52.91
AbdonBatista-SC,-27.61,-51.02
Almas-TO,-11.57,-47.17
AltoAlegredoPindare-MA,-3.69,-45.84
Aguiar-PB,-7.09,-38.17
Algodoes-BA,-10.68,-39.05
Albertos-MG,-20.57,-45.49
Acorizal-MT,-15.2,-56.36
AlbertoMoreira-SP,-20.44,-48.55
AltamiradoParana-PR,-24.79,-52.71
AlfredoBrenner-RS,-28.56,-53.14
Abrantes-BA,-12.82,-38.26
AltoFeliz-RS,-29.39,-51.31
AbadiadosDourados-MG,-18.48,-47.4
Alpercata-MG,-18.97,-41.97
