periods;precipitation;temperature;max_temperature;min_temperature;max_rel_humidity;min_rel_humidity;max_pressure;min_pressure;wind_gust;frost_alert;etp;radiation;wetting;
2019-08-12 06:00;0;23.291278839111328;30.443708419799805;16.13884925842285;78.9389419555664;30.423622131347656;1022.1196899414062;1016.0255737304688;8.430621147155762;0;3.046098470687866;2467.655029296875;-0.0379486009478569;
2019-08-13 06:00;0;24.95428466796875;33.32495880126953;16.58361053466797;88.44461059570312;22.90398597717285;1020.3167724609375;1013.7045288085938;7.698455810546875;0;3.6301462650299072;2499.98876953125;-0.04463253170251846;
2019-08-14 06:00;0;24.359728813171387;33.047428131103516;15.672029495239258;82.63255310058594;25.59316635131836;1022.263916015625;1014.8014526367188;11.911995887756348;0;3.422374725341797;2447.07666015625;-0.05668218806385994;
2019-08-15 06:00;0;15.991252899169922;20.527305603027344;11.4552001953125;80.29962921142578;51.568580627441406;1031.715576171875;1022.802001953125;14.571044921875;0;1.1398036479949951;2320.18408203125;-0.03195615112781525;
2019-08-16 06:00;0;17.922158241271973;25.15408706665039;10.690229415893555;84.37347412109375;39.12297439575195;1028.9390869140625;1021.9065551757812;12.706605911254883;0;1.5313587188720703;2525.759765625;-0.03157411888241768;
2019-08-17 06:00;0;19.236234664916992;26.897586822509766;11.574882507324219;91.25409698486328;25.10597801208496;1026.78564453125;1018.0301513671875;7.982753276824951;0;1.8453787565231323;2643.308349609375;0.1798485368490219;
2019-08-18 06:00;0;21.79344415664673;30.046390533447266;13.540497779846191;71.64859771728516;22.140108108520508;1021.6763916015625;1013.0769653320312;8.033092498779297;0;2.5713539123535156;2612.88330078125;-0.048299990594387054;
2019-08-19 06:00;0;23.582380294799805;31.758642196655273;15.406118392944336;74.5649642944336;22.090259552001953;1018.0238037109375;1011.6976928710938;8.817729949951172;0;3.173056125640869;2330.654541015625;-0.034352246671915054;
2019-08-20 06:00;0;19.02284002304077;23.671884536743164;14.373795509338379;86.9598388671875;46.77541732788086;1020.0805053710938;1015.014892578125;11.62576961517334;0;1.805307388305664;1279.7882080078125;-0.06574461609125137;
2019-08-21 06:00;0;19.211746215820312;24.784061431884766;13.63943099975586;85.60663604736328;50.42457580566406;1023.374267578125;1017.9290771484375;9.38944149017334;0;1.8593227863311768;2285.142578125;-0.05788280814886093;
2019-08-22 06:00;0.11110693216323853;19.371057510375977;26.200105667114258;12.542009353637695;90.57276153564453;43.749637603759766;1023.5460815429688;1018.0576782226562;9.208023071289062;0;1.9013102054595947;2636.626220703125;-0.05691461265087128;
2019-08-23 06:00;0;18.67314910888672;25.163436889648438;12.182861328125;90.65938568115234;35.5849494934082;1023.6715698242188;1018.6768798828125;12.087301254272461;0;1.7262978553771973;2754.031494140625;-0.037611763924360275;
2019-08-24 06:00;0.9029411673545837;19.224162101745605;26.667505264282227;11.780818939208984;91.83039855957031;33.222930908203125;1024.43310546875;1017.2369995117188;11.277501106262207;0;1.8652541637420654;2772.233154296875;0.2815838158130646;
2019-08-25 06:00;0;18.305717945098877;24.582548141479492;12.028887748718262;88.98749542236328;32.43905258178711;1024.963134765625;1019.446044921875;11.436296463012695;0;1.6442826986312866;2905.619873046875;-0.037118133157491684;
2019-08-26 06:00;0;19.45186471939087;26.656539916992188;12.24718952178955;85.8523941040039;31.62669563293457;1025.5150146484375;1019.2605590820312;12.264534950256348;0;1.9333882331848145;2896.13818359375;-0.023726118728518486;
2019-08-27 06:00;0;21.127490043640137;29.703062057495117;12.551918029785156;88.18478393554688;26.20749855041504;1024.22021484375;1017.0259399414062;10.761164665222168;0;2.4060306549072266;2704.143798828125;-0.03269105404615402;
2019-08-28 06:00;0;21.852262496948242;29.331430435180664;14.37309455871582;92.10577392578125;27.3151912689209;1023.9827880859375;1018.1018676757812;9.434342384338379;0;2.629326820373535;2707.051513671875;0.30529382824897766;
2019-08-29 06:00;0;22.054422855377197;28.842580795288086;15.266264915466309;87.61099243164062;32.81243896484375;1023.2791748046875;1016.8187866210938;10.51932430267334;0;2.700192928314209;2703.866943359375;-0.014438284561038017;
2019-08-30 06:00;0;22.59707546234131;30.4976806640625;14.696470260620117;91.12741088867188;23.942378997802734;1020.4741821289062;1013.6240234375;7.196860313415527;0;2.8827621936798096;2787.57470703125;0.18720205128192902;
2019-08-31 06:00;0;24.662242889404297;32.69409942626953;16.630386352539062;84.24937438964844;21.301151275634766;1018.6621704101562;1010.870849609375;8.575837135314941;0;3.630552053451538;2751.006591796875;-0.05850694328546524;
2019-09-01 06:00;1.3541040420532227;26.279863357543945;35.22634506225586;17.33338165283203;87.20265197753906;20.485952377319336;1016.6519775390625;1007.69140625;11.730828285217285;0;4.30155611038208;2567.707763671875;-0.05134069547057152;
2019-09-02 06:00;11.519218444824219;21.08604145050049;25.501306533813477;16.6707763671875;94.96340942382812;64.57337188720703;1018.0028076171875;1012.7792358398438;12.996442794799805;0;2.4233360290527344;1500.5714111328125;5.441669464111328;
2019-09-03 06:00;0.3271401524543762;21.734204292297363;27.090118408203125;16.3782901763916;95.70359802246094;54.52555847167969;1016.0759887695312;1011.1531372070312;6.8932414054870605;0;2.626967430114746;2098.708984375;4.823479652404785;
2019-09-04 06:00;0.2825107276439667;22.637313842773438;29.6630859375;15.611541748046875;94.93303680419922;47.65557098388672;1017.5625;1013.141845703125;8.590412139892578;0;2.93556809425354;2164.886962890625;2.8326871395111084;
