periods;precipitation;temperature;max_temperature;min_temperature;rel_humidity;wind_speed;wind_direction;pressure;weather_conditions;atmospheric_conditions;thunderstorm_alerts;thermal_sensation;max_sensation;min_sensation;frost_alert;etp;
2019-09-11 06:00;12.473336219787598;14.654457092285156;16.89919662475586;12.672784805297852;94.46044921875;4.139999866485596;191;1014.341552734375;4;1;0;13.815016192640446;16.43815541666589;11.364779971716048;0;2.050407886505127;
2019-09-12 06:00;1.8676810264587402;13.183042526245117;14.633353233337402;11.951522827148438;85.21739196777344;4.349999904632568;155;1019.8566284179688;2;1;0;11.949783504702964;13.79604289641193;10.26205113727463;0;1.9047162532806396;
2019-09-13 06:00;0.2100796401500702;15.912104606628418;18.332862854003906;12.162511825561523;78.27928924560547;3.7200000286102295;128;1017.561279296875;2;1;0;15.56055766938465;18.332862854003906;10.774225680604017;0;2.245988607406616;
2019-09-14 06:00;2.331381320953369;19.269834518432617;21.827503204345703;15.774019241333008;87.27538299560547;2.369999885559082;105;1014.486328125;2;2;1;19.269834094577366;21.827502780490452;15.774019029405382;0;2.7957167625427246;
2019-09-15 06:00;0;24.196216583251953;29.414560317993164;18.714216232299805;57.85944366455078;4.400000095367432;38;1010.703125;1;1;0;24.196217854817707;29.414562649197048;18.714218139648438;0;6.808228969573975;
2019-09-16 06:00;0;23.36346435546875;27.575244903564453;21.375747680664062;56.54220199584961;5.489999771118164;25;1011.4057006835938;1;1;0;23.363463083902992;27.575242784288193;21.375749376085068;0;5.009767055511475;
2019-09-17 06:00;0;22.83994483947754;26.52855682373047;20.27665901184082;64.24895477294922;3.049999952316284;99;1011.1568603515625;1;1;0;22.83994462754991;30.0685216730847;20.276658799913193;0;4.3999152183532715;
2019-09-18 06:00;0;24.55094337463379;29.037933349609375;19.773422241210938;47.98436737060547;5.269999980926514;108;1004.7196044921875;1;1;0;24.55094231499566;29.037933349609375;19.773423936631943;0;6.315258979797363;
2019-09-19 06:00;2.009636402130127;17.663944244384766;23.130054473876953;14.76150131225586;75.31694030761719;5.989999771118164;149;1011.8339233398438;2;1;0;17.000691212437584;23.130052354600693;13.346262187752416;0;2.492661476135254;
2019-09-20 06:00;11.275140762329102;13.508256912231445;14.704534530639648;12.298864364624023;94.08094787597656;6.710000038146973;134;1012.025634765625;3;1;0;12.119011639753802;13.825328979877247;10.014205472778732;0;1.8705161809921265;
2019-09-21 06:00;7.537350654602051;16.305320739746094;17.626497268676758;13.997258186340332;92.7955093383789;4.349999904632568;168;1013.489990234375;3;1;0;16.06001238163443;17.626495361328125;13.66212788225134;0;2.1712586879730225;
2019-09-22 06:00;1.860558271408081;15.654594421386719;17.977575302124023;14.012967109680176;78.39083862304688;6.039999961853027;132;1016.5400390625;2;1;0;14.642048175555791;17.492999643784692;13.008309291223565;0;2.202582359313965;
2019-09-23 06:00;2.355043649673462;19.312580108642578;23.524869918823242;13.685884475708008;76.99908447265625;3.5299999713897705;153;1013.6470947265625;1;2;1;19.286143098138364;23.524869283040363;13.173254873021127;0;3.167562961578369;
2019-09-24 06:00;13.596707344055176;19.466413497924805;21.165464401245117;18.257678985595703;92.14860534667969;2.9100000858306885;139;1013.6260375976562;4;1;1;19.46641286214193;21.16546630859375;18.257679409450954;0;2.6725594997406006;
2019-09-25 06:00;1.873655080795288;20.49789810180664;24.634552001953125;18.018421173095703;80.10541534423828;3.609999895095825;162;1013.7300415039062;2;2;1;20.497897466023765;24.634552001953125;18.018421596950954;0;3.3742129802703857;
2019-09-26 06:00;0.19761361181735992;20.604055404663086;24.481060028076172;17.832172393798828;73.2386474609375;5.090000152587891;125;1014.2490844726562;1;1;1;20.556859726016704;24.48105706108941;17.832171122233074;0;3.548638105392456;
2019-09-27 06:00;0;23.872602462768555;29.327404022216797;17.713787078857422;62.7921028137207;4.150000095367432;87;1012.08056640625;0;2;1;23.87260013156467;34.34170140078307;17.505292074229008;0;6.465951442718506;
2019-09-28 06:00;0;24.587722778320312;28.78478240966797;21.541555404663086;55.64013671875;5.800000190734863;33;1009.8958740234375;1;1;1;24.58772235446506;28.784781561957466;21.541553073459202;0;6.104682445526123;
2019-09-29 06:00;0.09317174553871155;25.404666900634766;30.423830032348633;21.932382583618164;48.393611907958984;4.880000114440918;31;1008.463623046875;1;1;1;25.404666264851887;30.423829820421005;21.932381523980034;0;7.576440334320068;
2019-09-30 06:00;12.79507827758789;20.36356544494629;23.082555770874023;18.758207321166992;76.02508544921875;2.440000057220459;159;1011.4349975585938;2;1;1;20.363565021091034;23.082555135091145;18.75820583767361;0;2.7712185382843018;
2019-10-01 06:00;12.780153274536133;21.121246337890625;23.442808151245117;18.507858276367188;79.68879699707031;3.180000066757202;173;1009.5911865234375;4;1;0;21.121244430541992;23.442806667751736;18.507859971788193;0;3.208996057510376;
2019-10-02 06:00;34.85014343261719;20.399742126464844;22.387487411499023;19.081707000732422;81.56657409667969;3.5299999713897705;95;1007.4405517578125;4;2;1;20.399740007188583;22.387487623426647;19.08170912000868;0;2.7755284309387207;
2019-10-03 06:00;19.001567840576172;21.086957931518555;24.41617774963379;19.070566177368164;86.38467407226562;2.819999933242798;238;1008.1474609375;3;2;0;21.08695877922906;24.41617753770616;19.070565965440537;0;3.1724629402160645;
2019-10-04 06:00;2.830549716949463;23.846302032470703;27.359447479248047;19.2807674407959;62.13228988647461;5.300000190734863;41;1004.9269409179688;2;1;0;23.846300972832573;27.359449598524304;19.28076850043403;0;4.9249138832092285;
